ZZ ZT RHO THBAR PBAR PIBAR QVBAR Q1 Q2 RHOZ
15000 15100 0.225506 358.156465 12652.921514 0.554347 0.000006 0 0 0.222405
15200 15300 0.218913 360.842104 12224.891498 0.548243 0.000005 0 0 0.215420
15400 15500 0.211919 363.757701 11810.281759 0.542813 0.000004 0 0 0.208417
15600 15700 0.204936 366.743051 11408.781093 0.537590 0.000004 0 0 0.201454
15800 15900 0.198209 369.757020 11019.990307 0.532397 0.000003 0 0 0.194963
16000 16100 0.191950 372.800234 10643.496079 0.527232 0.000003 0 0 0.188937
16200 16300 0.185941 375.886361 10278.906138 0.522095 0.000002 0 0 0.182944
16400 16500 0.179964 379.063100  9925.861356 0.516986 0.000001 0 0 0.176983
16600 16700 0.174022 382.619494  9586.550212 0.511909 0.000001 0 0 0.171060
16800 16900 0.168114 386.209742  9258.329909 0.506858 0.000001 0 0 0.165168
17000 17100 0.162237 389.835204  8940.777188 0.501834 0.000001 0 0 0.159306
17200 17300 0.156571 393.495813  8633.522940 0.496835 0.000001 0 0 0.153835
17400 17500 0.151348 397.191476  8336.212675 0.491861 0.000001 0 0 0.148861
17600 17700 0.146386 400.922922  8048.506329 0.486912 0.000001 0 0 0.143912
17800 17900 0.141452 404.698440  7772.371214 0.481992 0.000001 0 0 0.138992
18000 18100 0.136545 408.468390  7505.301572 0.477097 0.000001 0 0 0.134097
18200 18300 0.131893 412.201971  7246.752179 0.472225 0.000001 0 0 0.129688
18400 18500 0.127532 415.924970  6996.409265 0.467377 0.000001 0 0 0.125377
18600 18700 0.123001 419.683325  6753.980225 0.462625 0.000001 0 0 0.120625
18800 18900 0.118625 423.484125  6520.734625 0.458625 0.000001 0 0 0.116625
19000 19100 0.114971 427.325979  6295.741483 0.453974 0.000001 0 0 0.113316
19200 19300 0.111500 431.204106  6077.807954 0.449220 0.000001 0 0 0.109683
19400 19500 0.107711 435.118720  5866.703016 0.444487 0.000001 0 0 0.105739
19600 19700 0.103869 438.877000  5671.677000 0.440000 0.000001 0 0 0.102000
19800 19900 0.102000 438.877000  5671.677000 0.440000 0.000001 0 0 0.102000
